"filename", "language", "Markdown", "JavaScript", "XML", "HTML", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\1\Desktop\LMS-UI\public\images\academy\quiz-haye-gozarande.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\quiz-haye-mojood.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\quiz.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\recipt-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\security.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\unpaid-recipts.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\upload-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\upload.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\uploaded-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\verification-send-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\asdasdasd.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\bit.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\block.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\blockchainerror.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\bnb.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\brain.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\cake.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\eth.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\index.html", "HTML", 0, 0, 0, 62, 0, 0, 48, 16, 126
"c:\Users\1\Desktop\LMS-UI\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 1, 26
"c:\Users\1\Desktop\LMS-UI\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\1\Desktop\LMS-UI\src\blog\ExtraPages\Footer.css", "CSS", 0, 0, 0, 0, 97, 0, 1, 16, 114
"c:\Users\1\Desktop\LMS-UI\src\blog\ExtraPages\Footer.js", "JavaScript", 0, 64, 0, 0, 0, 0, 19, 1, 84
"c:\Users\1\Desktop\LMS-UI\src\blog\ExtraPages\Navbar.js", "JavaScript", 0, 190, 0, 0, 0, 0, 0, 12, 202
"c:\Users\1\Desktop\LMS-UI\src\blog\ExtraPages\NoMatch.js", "JavaScript", 0, 225, 0, 0, 0, 0, 0, 6, 231
"c:\Users\1\Desktop\LMS-UI\src\blog\common\CustomButton.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\1\Desktop\LMS-UI\src\blog\common\FavoritePost.js", "JavaScript", 0, 137, 0, 0, 0, 0, 0, 7, 144
